[Sun Jul 24 14:32:13.143186 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b00a0/subreq] [perdir /] add per-dir prefix: index.php -> /index.php, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143197 2016] [rewrite:trace1] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b00a0/subreq] [perdir /] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143255 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b20a0/subreq] [perdir /] strip per-dir prefix: /var/www/infra2/index.pl -> var/www/infra2/index.pl, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143270 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b20a0/subreq] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/index.pl', referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143286 2016] [rewrite:trace4] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b20a0/subreq] [perdir /] RewriteCond: input='/var/www/infra2/index.pl' pattern='!-d' => matched, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143298 2016] [rewrite:trace4] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b20a0/subreq] [perdir /] RewriteCond: input='/var/www/infra2/index.pl' pattern='!-f' => matched, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143308 2016] [rewrite:trace2] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b20a0/subreq] [perdir /] rewrite 'var/www/infra2/index.pl' -> 'index.php?var/www/infra2/index.pl', referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143318 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b20a0/subreq] split uri=index.php?var/www/infra2/index.pl -> uri=index.php, args=var/www/infra2/index.pl, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143327 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b20a0/subreq] [perdir /] add per-dir prefix: index.php -> /index.php, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143357 2016] [rewrite:trace1] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b20a0/subreq] [perdir /] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143407 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] strip per-dir prefix: /var/www/infra2/index.php -> var/www/infra2/index.php, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143421 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/index.php', referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143437 2016] [rewrite:trace4] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] RewriteCond: input='/var/www/infra2/index.php' pattern='!-d' => matched, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143450 2016] [rewrite:trace4] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] RewriteCond: input='/var/www/infra2/index.php' pattern='!-f' => not-matched, referer: http://e-magyar.hu/index.php?/intro
